Mot_Descr
I wanted to start running and needed a way to carry my phone. Also they were cute.
I had lost some weight and needed new pants to fit into. This was the most cost efficient way of receiving high quality athletic leggings that I knew I would wear very often and could use for many different activities.
"I really like the movie it portrays, I like wearing casual t-shirts because I'm a casual type of person and this shirt reflects it"
My mom was going to get rid of it and I thought it would fit well with my current wardrobe and style
I got this item because it looked warm and soft. I go for comfort most of the time.
"my mom took me shopping on my birthday and we went to lululemon, where she said she would treat me to some clothes there."
"I wanted a new shirt to celebrate the coming of spring, however not having a job right now I cannot afford a lot so I got only a shirt on the sale rack, it was $10."
"I like the style of shoe/sandal. They're comfortable, minimal, and easy to take anywhere. They were also free."
Needed it for the team jersey.
"I recently grew out of my pants because I had not bought pants in a few years, so i bought new ones"
Because it didn't fit my friend but it fit me.
"It is kind of a funny story, my softball coach said the best way to deal with sadness( losing our season due to COVID-19) is retail therapy (she was kind of kidding). So when I got home I decided I was going to buy new, cute clothes for summer in order to feel better. I bought the blouse in order to dress cute during summer and as a fitness goal I suppose."
I purchased a new pair of pants to have more options to wear throughout the week.
It was for a friends sorority formal. I don't have formal wear and am taller than all my friends so I couldn't borrow anything.
"My roommate wanted to go shopping and I happened to find this skirt that I liked, it wasn't very expensive so I bought it."
I got the shoes because I thought they were very cool and they fit my style. I got them to reward myself for having a great academic term. They made me feel cool and in style.
I got it because I liked it and because it was my style. I didn't expect others to get it or to like it. It was just for me.
I bought it because it is famous in Iceland.
"I thought the shoes were really cute. Nike airforce ones are really popular. But I thought getting them with a color (pink, my favorite) they'd be a little more unique and fit me."
I got the clothing item because I thought it was cute and would be trendy to wear during spring.
"I got it because I had been in search of a grey crewneck sweatshirt for months and I wanted to buy it from an ethical company. I also had no time, or car, to go to a store so online shopping gave me more options."
"It was an impulse buy, I did not really need it but I got it anyways. I did not have a black hoodie so I wanted one."
I got the clothing item because I though it was cute and a lot of my other sweatshirts had stains on them or were worn out.
"My mother got it for me since she knows that Eugene is a cold place and a winter jacket would help during next school year. She got me a jacket previously but it just didn't fit right so we returned it and this was the replacement. By the way, we come from California where it is much warmer."
I thought it would look good on me
I got it because I thought it was cute and it would motivate me to get better in shape
"I don't have a lot of green clothes, so when I saw this pullover from a brand I lik and with a fit I like I bought it."
I needed new pants because I had grown out of two other pairs and ripped another pair (funny story). I guess I didn't really need them but I wanted them
I got it because i needed a longsleeve top
I wanted something comfortable to sleep in.
"I thought it looked nice on foreign celebrities and I wanted to copy their style. I felt like I can add my own twist on the jacket and change certain parts of it as well. In all, I thought wearing it would be different from what my friends would wear but still similar enough to not be looked at weirdly."
It was on the sale rack at Zumiez so it was cheap. Also it's an XL and I wanted a baggier tshirt cause I didn't really have any beforehand.
"I got it because I really liked how it looked on me and didn't have many sweaters that I felt comfortable in both mentally and physically. It was in a really pretty color. I also got it because it can also be considered business casual, which was good because I was shadowing physician assistants at the time and needed business casual items because I did not have any."
"I just wanted it if I am being honest. I just got it today actually but haven't had a chance to wear it yet due to the COVID-19 virus, but I still just decided to buy it for when I go out when the quarantine is over. So, in short, I mostly just buy clothes because I like them or want them. I thought the fur coat was cute and have been wanting one for awhile now."
I needed a new sweatshirt as it was getting colder and I had a gift card to Dick's.
